,symbol
489,IZRL
490,HYS
491,JOFF
492,JPME
493,NVT
494,IWM
495,IAI
496,GDRX
497,XCCC
498,BCYC
499,EGAN
500,EQC
501,TPB
502,GDOT
503,CMI
504,SAND
505,CSTA
506,DVN
507,EZM
508,DT
509,IBOC
510,IBTX
511,LPRO
512,ICCC
513,CTS
514,CTSH
515,LPLA
516,S
517,FYBR
518,GATX
519,AGRO
520,DWIN
521,ICF
522,ICMB
523,ICSH
524,IHIT
525,BRFS
526,HNRG
527,EQD
528,HLIT
529,EFG
530,TDSA
531,INN
532,STRE
533,SWI
534,INT
535,INVA
536,TDOC
537,INVZ
538,TDG
539,IONQ
540,IQMD
541,RXST
542,TD
543,LOKM
544,DGNU
545,DGRS
546,IRIX
547,LEAP
548,IRL
549,OMGA
550,IRM
551,IROQ
552,IRRX
553,IVE
554,AKO.B
555,MBAC
556,BTWN
557,DGRW
558,MIT
559,IVH
560,IWF
561,ACNB
562,GOAC
563,MEI
564,EUSB
565,MITA
566,LVAC
567,AWK
568,ECL
569,FACA.U
570,DIVO
571,DMTK
572,PTIC
573,DSGX
574,MLAI
575,RVT
576,NVO
577,SWT
578,CDAY
579,CDXS
580,LVLU
581,FBIZ
582,GATE
583,ORGO
584,JHSC
585,JNPR
586,LBRT
587,LEN.B
588,GFS
589,GFX
590,PB
591,PBF
592,GGG
593,PLOW
594,RTX
595,LASR
596,PLCE
597,RTMVY
598,ACWV
599,AGM
600,GTHX
601,PBFX
602,PBH
603,PBI
604,GTIM
605,PBPB
606,PBTP
607,KRT
608,CMDY
609,LARK
610,MVF
611,LAND
612,GIB
613,GIC
614,GIFI
615,LANC
616,LAMR
617,SYIEY
618,MILN
619,MIN
620,MINT
621,NCNO
622,CME
623,MRC
624,CMG
625,DNAD
626,KTCC
627,GTPA
628,GTX
629,DPST
630,DRI
631,CNGL
632,TA
633,HRI
634,PAYC
635,PPYA
636,IVCP
637,IVCB
638,PICC
639,PLBC
640,CRMD
641,EQT
642,PRPH
643,DRIO
644,DRIV
645,HALO
646,DAL
647,JUN.U
648,PILL
649,JWSM
650,MKTX
651,MLAB
652,KIDS
653,PINC
654,PINE
655,PIPP
656,MTA
657,SYNL
658,TMAC
659,PATH
660,TLT
661,RSG
662,HMNF
663,CSTL
664,CTAQ
665,CWEN
666,EVBN
667,HNDL
668,HNNA
669,INTC
670,KCDMY
671,PIPR
672,PJT
673,PLAB
674,ABB
